product_type,brand,product,rating,review_count,url,image_url,price,description
toner,Hada Labo,Gokujyun Ultimate Moisturizing Lotion,4.5,5986,https://reviews.femaledaily.com/products/cleanser/toner/hada-labo/gokujyun-ultimate-moisturizing-lotion-2,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1646882806_bd885c87_e_800x800.png,Rp. 29.000,"Hada Labo Gokujyun Ultimate Moisturizing Lotion adalah lotion pelembab yang mengandung 3 jenis Hyaluronic Acid untuk membantu meningkatkan kelembaban pada kulit dan mempertahankan keseimbangan serta kelembaban kulit. Lotion ini dapat mengunci kelembaban di dalam kulit sehingga kulit terhidrasi dengan baik. Kulit akan terasa lebih halus, lembut dan tetap elastis. Mengandung alkohol sebagai astringent yang mengurangi produksi minyak berlebih dan membuat kulit senantiasa terasa lebih segar.How To Use:Tuangkan lotion secukupnya pada telapak tangan, usapkan ke seluruh wajah dalam keadaan bersih secara merata. Tepuk-tepuk kulit wajah dengan lembut, lalu biarkan hingga meresap.Suitable For:Kulit berminyakIngredients:-"
toner,Viva Cosmetics,Air Mawar,4.2,5166,https://reviews.femaledaily.com/products/cleanser/toner/viva-cosmetics/air-mawar,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1630998319_307543_1_800x800.jpg,Rp. 4.800,Viva Cosmetics Air Mawar mengandung sari bunga mawar dan aroma bunga mawar yang biasa digunakan sebagai campuran bubuk masker dan lulur. Aromanya dapat menenangkan kulit wajah. Kemasannya praktis dan higienis sehingga mudah dibawa.How To Use:Gunakan Viva Air Mawar sebagai campuran masker atau lulur.Suitable For:Semua jenis kulitIngredients:-
toner,Some by Mi,AHA BHA PHA 30 Days Miracle Toner,3.9,5161,https://reviews.femaledaily.com/products/cleanser/toner/some-by-mi/30-days-miracle-toner,https://image.femaledaily.com/dyn/250/images/prod-pics/product_1681208255_akita_800x800.jpg,,
toner,Cosrx,AHA/BHA Clarifying Treatment Toner,4,4534,https://reviews.femaledaily.com/products/cleanser/toner/cosrx/aha-bha-clarifying-treatment-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1545204089_Cosrx_AHA__800x800.jpg,Rp. 190.000,"Cosrx AHA/BHA Clarifying Treatment Toner merupakan toner dengan kandungan bahan-bahan natural dan air mineral. Produk ini lebih dari sekedar toner biasa, karena memiliki kandungan AHA/BHA organik yang dapat berfungsi sebagai exfoliating toner.Selain membantu mengatasi masalah komedo (whiteheads, blackheads) dan jerawat, Cosrx AHA/BHA Clarifying Treatment Toner membantu menghidrasi dan meremajakan kulit sehingga dapat menjadikan kulit sehat dan flawless. How to use:Aplikasikan pada wajah yang sudah dibersihkan setiap pagi dan malam hari dengan menggunakan kapas.Suitable for:Semua jenis kulit.Ingredients:Mineral Water, Salix Alba (Willow) Bark Water, Pyrus Malus (Apple) Fruit Water, Butylene Glycol, 1,2-Hexanediol, Sodium Lactate, Glycolic Acid, Water, Betaine Salicylate, Allantoin, Panthenol, Ethyl Hexanediol"
toner,AVOSKIN,Miraculous Refining Toner,4.6,4352,https://reviews.femaledaily.com/products/cleanser/toner/avoskin/avoskin-miraculous-refining-toner-1,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1679552716_PDP_TEMPLA_800x800.jpg,,"Reformulation in 2022AVOSKIN Miraculous Refining Toner dikombinasikan dari AHA-BHA-PHA+ Niacinamide + 2% Tea Tree + Witch Hazel dan Aloe Vera yang bekerja secara efektif sebagai eksfoliator kulit dan mencerahkan kulit. How to Use :Setelah membersihkan wajah, tuang secukupnya pada kapas, usap dari area tengah wajah ke arah luar dengan gerakan ke atas dan biarkan menyerap. Hindari area mata. Tidak perlu dibilas. Gunakan dua kali sehari.Untuk hasil yang maksimal, gunakan Miraculous Refining Serum setelahnya.Ingredients :Water, Glycerin, Glycolic Acid, Butylene Glycol, Propylene Glycol, Gluconolactone, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Niacinamide, Chamomilla Recutita (Matricaria) Flower Extract, Rubus Idaeus (Raspberry) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Salicylic Acid, Acer Saccharum (Sugar Maple) Extract, Portulaca Oleracea Extract, Aloe Barbadensis Leaf Juice, Amylopectin, Dextrin, Xanthan Gum, Tetrasodium EDTA, Sodium Hydroxymethylglycinate, Polyglutamic Acid."
toner,Imju Naturie,Hatomugi Skin Conditioner,4.3,3661,https://reviews.femaledaily.com/products/cleanser/toner/imju-naturie/skin-conditioner-90,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1640252152_product_lo_800x800.jpg,Rp. 115.000,"Naturie Hatomugi Skin Conditioner merupakan toner lotion untuk mempertahankan kondisi kulit dengan meningkatkan hidrasi. Diformulasikan dengan ekstrak Hatomugi, bahan pelembab alami.How to use:Oleskan setelah pembersihan, dan sebelum serum atau pelembab. Tuangkan seperempat ukuran lotion ke telapak tangan. Tepuk dengan lembut pada kulit Anda.Suitable for:Semua jenis kulitIngrediets:Water(Aqua), Dipropylene Glycol, Butylene Glycol, Glycerin, Dipotassium Glycyrrhizate, Coix Lacryma- Jobi (Job’s Tears) Seed Extract, Styrene/Acrylates Copolymer, Alcohol, Citric Acid, Sodium Citrate, Methylparaben, Propylparaben"
toner,Viva Cosmetics,Face Tonic,4.1,3611,https://reviews.femaledaily.com/products/cleanser/toner/viva-cosmetics/face-tonic-green-tea,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1630999175_Screenshot_800x800.jpg,Rp. 5.950,"Viva Cosmetics Face Tonic adalah penyegar wajah untuk kulit berjerawat yang berfungsi membersihkan sisa-sisa susu pembersih. menyegarkan kulit, mengecilkan tampilan pori-pori, dan menjaga pH kulit. Mengandung ekstrak teh hijau sebagai anti oksidan dan tea tree oil untuk membantu mencegah timbulnya jerawat.How To Use:Tuangkan Viva Face Tonic Green Tea pada kapas secukupnya dan usapkan pada seluruh wajah. Gunakan setiap kali setelah penggunaan Viva Milk Cleanser atau Viva Queen Peelling Cream dan Viva Face Masker. Suitable For:Kulit berjerawatIngredients:-"
toner,Pyunkang Yul,Essence Toner,4.5,3031,https://reviews.femaledaily.com/products/cleanser/toner/pyunkang-yul/pyunkang-yul-essence-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1635319601_25662_larg_800x800.jpg,Rp. 200.000,
toner,Hada Labo,Gokujyun Ultimate Moisturizing Light Lotion,4.3,2586,https://reviews.femaledaily.com/products/cleanser/toner/hada-labo/ultimate-moisturizing-light-lotion,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1646882606_Light_Loti_800x800.jpg,Rp. 30.000,
toner,Benton,Aloe BHA Skin Toner,4,2291,https://reviews.femaledaily.com/products/cleanser/toner/benton/aloe-bha-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1628486828_benton_534_800x800.jpg,Rp. 230.000,"Benton Aloe BHA Skin Toner merupakan penyegar wajah yang mengandung aloe dan salicylic acid yang mampu menghidrasi kulit dan mempersiapkan wajah untuk menggunakan perawatan kulit wajah selanjutnya. Produk ini mampu melembabkan dan melembutkan wajah serta mengangkat semua kotoran dan jerawat menjadi kempes.How to Use:Aplikasikan pada wajah bersamaan dengan menggunakan kapas.Suitable for:Semua jenis kulit.Ingredients:Aloe Barbadensis Leaf Water (58%), Glycerin, Sodium Hyaluronate, Aloe Barbadensis Leaf Extract, Snail Secretion Filtrate, Salicylic Acid (0.5%), Beta-Glucan, Althaea Rosea Flower Extract, Aloe Barbadensis Leaf Extract, Polyglutamic Acid, Portulaca Oleracea Extract, Psidium Guajava Fruit Extract, Aspalathus Linearis Extract, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Usnea Barbata (Lichen) Extract, Acrylates/C10-30 Alkyl Acrylate Cross Polymer."
toner,Azarine Cosmetic,Daily Beginner Exfoliating Toner,4.2,1972,https://reviews.femaledaily.com/products/cleanser/toner/azarine-cosmetic/daily-beginner-exfoliating-toner-3,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1645090186160.jpg,Rp. 69.000,"Smooth Flawless Clear Skin- Untuk semua jenis kulit terutama tekstur tidak rata dan bekas jerawat- Fokus untuk memudarkan bekas jerawat/ flek, meratakan kulit ( bruntusan / bopeng), kecilkan pori- Bisa untuk bumil, busui dan kulit sensitif"
toner,Whitelab,Brightening Toner,4,1941,https://reviews.femaledaily.com/products/cleanser/toner/whitelab/brightening-toner-1,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1670311230_BRIGHTENIN_800x800.jpg,,"Whitelab Brightening Toner adalah toner yang bermanfaat untuk melembabkan, membersihkan kotoran, mengangkat minyak berlebih, dan menyegarkan kulit.How to use:Cuci muka dengan Facial Wash. Setelah itu, teteskan Whitelab Toner ke kapas dan oleskan ke wajah.Suitable for:Semua jenis kulitIngredients:- Niacinamide: Membantu mencerahkan kulit, menyamarkan noda gelap, dan membantu mengurangi minyak berlebih pada wajah- HyaluComplex-10: Kombinasi 10 molekul Hyaluron yang dapat meningkatkan dan mempertahankan level hidrasi pada lapisan kulit yang berbeda.- Marine Collagen: Merawat kehalusan dan kelembapan kulit"
toner,Pixi,Glow Tonic,4.2,1887,https://reviews.femaledaily.com/products/cleanser/toner/pixi/glow-tonic,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1520593316_FD_Best_of_800x800.jpg,Rp. 0,"Pixi Glow tonic adalah toner yang mengandung Ginseng & Fructose yang dapat digunakan pada semua jenis kulit, terutama pada kulit normal, kusam, kering, atau kulit menua. Toner ini dapat mengeksfoliasi dan mengencangkan kulit, serta mampu mengangkat sel kulit mati untuk mendapatkan kulit yang lebih sehat. Formulanya bebas alkohol.How To Use:Tuangkan toner pada kapas, lalu tepuk-tepukkan kapas pada wajah yang telah dibersihkanSuitable For:Semua jenis kulitIngredients: Aqua, Aloe Barbadensis Leaf Juice, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Glycolic Acid, Ammonium Glycolate, Glycerin, Glucose, Fructose, Sucrose, Urea, Dextrin, Alanine, Glutamic Acid, Hexyl Nicotinate, Panax Ginseng Root Extract, Phenoxyethanol, Sodium Benzoate, Biotin, Polysorbate 20, Fragrance."
toner,Viva Cosmetics,Face Tonic,3.9,1801,https://reviews.femaledaily.com/products/cleanser/toner/viva-cosmetics/face-tonic-bengkuang,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1630999256_Screenshot_800x800.jpg,Rp. 5.950,"Viva Cosmetics Face Tonic adalah penyegar wajah untuk kulit normal yang berfungsi membersihkan sisa-sisa susu pembersih. Penyegar ini dapat menyegarkan kulit, memperkecil tampilan pori-pori, dan menjaga pH kulit. Mengandung bahan alami ekstrak bengkuang untuk kulit wajah tampak lebih cerah dan ekstrak biji bunga matahari untuk merawat elastisitas kulit wajah. How To Use:Tuangkan Viva Face Tonic Bengkuang pada kapas secukupnya dan usapkan pada seluruh wajah. Gunakan setiap kali setelah penggunaan Viva Milk Cleanser.Suitable For:Kulit normalIngredients:-"
toner,Safi,White Expert Purifying Cleanser 2 in 1 Cleanser & Toner,3.7,1681,https://reviews.femaledaily.com/products/cleanser/toner/safi/white-expert-2-in-1-cleanser-and-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1597142620_White_Expe_800x800.jpg,Rp. 54.000,"SAFI White Expert 2 in 1 Cleanser & Toner adalah pembersih wajah yang mengandung Ekstrak Habbatus Sauda dan Teknologi OxyWhite untuk membersihkan debu dan sisa make up secara seksama dengan scrub lembutnya. Kandungan Habbatus Sauda, Minyak Bunga Matahari, dan Vitamin E sebagai Antioksidan untuk membantu melindungi kulit dari paparan radikal bebas. Formulasi tanpa tambahan sabun membantu menjaga keseimbangan pH kulit. Kandungan Mentol memberikan sensasi menyegarkan pada kulit wajah.How To Use:Pompa dan keluarkan secukupnya ke telapak tangan dan pijat dengan lembut pada wajah dengan gerakan memutar lalu bilas dengan air."
toner,The Body Shop,Tea Tree Skin Clearing Toner,3.5,1646,https://reviews.femaledaily.com/products/cleanser/toner/the-body-shop/tea-tree-toner-22,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1642753711_image_remo_800x800.png,Rp. 159.000,"The Body Shop Tea Tree Toner merupakan toner penyegar untuk kulit berjerawat (blemished skin) dan memberikan hasil kulit yang matte dan berseri. Dapat digunakan untuk menghilangkan sisa make up, pembersih, dan kotoran. Terbukti secara klinis memberikan kulit yang terlihat lebih bersih.How To Use :Gunakan setelah memakai pembersih dan pelembab. Kocok dahulu untuk mengaktifkan bubuk matte dan tuangkan pada kapas bersih secukupnya. Sapukan pada wajah dan leher.Suitable For :Kulit berjerawat.Ingredients :Aqua (Solvent/Diluent), Alcohol Denat. (Solvent/Diluent), Corn Starch Modified (Skin Conditioning Agent), Caprylyl Glycol (Skin Conditioning Agent), PEG-40 Hydrogenated Castor Oil (Emulsifier), Glycerin (Humectant), Melaleuca Alternifolia Leaf Oil (Natural Additive), Salix Alba Bark Extract (Natural Additive), Allantoin (Skin Soothing Agent), Calophyllum Inophyllum Seed Oil (Skin Conditioning Agent), Limonene (Natural Additive), Hamamelis Virginiana Extract (Natural Additive), Sodium Hydroxide (pH Adjuster), t-Butyl Alcohol (Denaturant), Citral (Natural Additive), Leptospermum Petersonii Oil (Natural Additive), Denatonium Benzoate (Denaturant), Tocopherol (Antioxidant), Caramel (Colour), CI 19140 (Colour), CI 42090 (Colour)."
toner,Skin1004,Madagascar Centella Asiatica Toner,4.3,1437,https://reviews.femaledaily.com/products/cleanser/toner/skin1004/madagascar-centella-asiatica-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1603790259_madagascar_800x800.jpg,Rp. 180.000,
toner,Hada Labo,Shirojyun Ultimate Whitening Lotion,3.8,1436,https://reviews.femaledaily.com/products/cleanser/toner/hada-labo/arbutin-whitening-lotion-14,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1646883209_2020111015_800x800.jpg,Rp. 59.000,"Hada Labo Shirojyun Ultimate Whitening Lotion adalah lotion yang dapat menghidrasi sekaligus mencerahkan kulit secara sekejap, dan mencegah timbulnya noda hitam dari dalam kulit. Diperkaya dengan combine power dari natural Arbutin dan Vitamin C untuk mencerahkan dan membuat kulit terasa lembut. Kandungan Hyaluronic Acids menghidrasi ke dalam kulit untuk memelihara kulit, melawan noda hitam, dan mengembalikan cahaya alami kulit. Arbutin adalah kandungan alami ekstak dari bearberry, untuk mencegah tirosinase, enzim yang dapat membuat noda hitam. Vitamin C berfungsi untuk mencerahkan kulit dan komponen spesial untuk memproduksi kolagen dan sebagai antioksidan.How To Use:Aplikasikan lotion secara merata ke seluruh wajah dalam keadaan wajah bersihSuitable For:Kulit normal, kulit kusamIngredients:-"
toner,Everwhite,Essence Toner,4.8,1431,https://reviews.femaledaily.com/products/cleanser/toner/everwhite/everwhite-be-bright-48,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1620723152_WhatsApp_I_800x800.jpeg,Rp. 68.000,
toner,Viva Cosmetics,Face Tonic,3.7,1380,https://reviews.femaledaily.com/products/cleanser/toner/viva-cosmetics/face-tonic-lemon,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1630999122_Screenshot_800x800.jpg,Rp. 5.000,"Viva Cosmetics Face Tonic adalah penyegar wajah untuk kulit berminyak dan berjerawat yang berfungsi membersihkan sisa-sisa susu pembersih, menyegarkan kulit, memperkecilkan tampilan pori-pori, dan menjaga pH kulit. Kandungan ekstrak lemon pada penyegar ini berfungsi mengurangi kadar minyak sehingga membantu mencegah timbulnya jerawat.How To Use:Tuangkan Viva Face Tonic Lemon pada kapas secukupnya dan usapkan pada seluruh wajah. Gunakan setiap kali setelah penggunaan Viva Milk Cleanser atau Viva Queen Peelling Cream dan Viva Face Masker. Suitable For:Kulit berminyakIngredients:-"
toner,NPURE,Marigold Anti Aging Youth Defense Hydrating Toner,4.9,1347,https://reviews.femaledaily.com/products/cleanser/toner/npure/marigold-anti-aging-youth-defense-hydrating-toner,https://s3.ap-southeast-1.amazonaws.com/assets.femaledaily.com/remastering-data/production/product/product-1752830098329-fcde28b8-2f98-49df-9210-0c0e9cdaf7ef.png,,
toner,Hada Labo,Gokujyun Premium Ultimate Moisturizing Lotion,4.7,1264,https://reviews.femaledaily.com/products/cleanser/toner/hada-labo/premium-gokujyun-hyaluronic-acid-lotion,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1610100167_Screenshot_800x800.jpg,Rp. 250.000,"Hada Labo Gokujyun Premium Hyaluronic Acid Lotion adalah produk hydrating toner yang mengandung 5 jenis hyaluronic acid yaitu Sodium Acetyl Hyaluronate, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate Crosspolymer dan Hydroxypropyltrimonium Hyaluronate. Digunakan untuk memberi kelembapan yang tahan lama di kulit wajah.How to Use:Tuang 2-3 tetes ke tangan dan tepuk-tepuk ringan ke seluruh wajah yang telah dibersihkan dan setelah menggunakan exfoliating toner. Suitable For:Dry or Very Dry skinIngredients:-"
toner,"Dear, Klairs",Supple Preparation Facial Toner,4.5,1250,https://reviews.femaledaily.com/products/cleanser/toner/dear-klairs/supple-preparation-facial-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1579171548_Klairs_Sup_800x800.jpg,Rp. 300.000,
toner,Viva Cosmetics,Astringent,3.9,1224,https://reviews.femaledaily.com/products/cleanser/toner/viva-cosmetics/astringent,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1630999513_Screenshot_800x800.jpg,Rp. 5.300,"Viva Cosmetics Astringent Cucumber adalah penyegar untuk kulit berminyak dan bernoda hitam yang berfungsi membersihkan sisa susu pembersih, menyegarkan kulit, serta menjaga pH kulit. Mengandung Ekstrak Cucumber untuk mengurangi kadar minyak berlebih pada wajah dan Pore Tightening Agent untuk mengecilkan tampilan pori-pori di wajah.How To Use:Tuangkan Viva Astringent Cucumber pada kapas secukupnya dan usapkan pada seluruh wajah. Gunakan setiap kali setelah penggunaan Viva Milk Cleanser Cucumber atau Viva Queen Peelling Cream dan Viva Face Masker.Suitable For:Kulit berminyakIngredients:-"
toner,Pratista,Hyalu Hydrating Toner,4.2,1214,https://reviews.femaledaily.com/products/cleanser/toner/pratista/hyalu-hydrating-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1589430159_8._Hyalu_H_800x800.jpg,Rp. 100.000,"Pratista Hyalu Hydrating Toner merupakan penyegar wajah yang dapat membersihkan kulit wajah dari kotoran, make up dan sisa cleanser. Mengandung Hyaluronic Acid,Aloe Barbandis Leaf Extract, dan Centella Asiatica yang membantu membuat kulit wajah menjadi lebih lembut dan lembab.How to use:Tuang toner pada kapas lalu tepuk-tepuk halus pada wajah yang sudah bersihSuitable for:Semua jenis kulitIngredients:Aqua, Propylene Glycol, Sodium Hyaluronate, Phenoxyethanol, PED-40 Hydrogenated Castor Oil, Aloe Barbadensis Leaf Extract, Panthenol, Centella Asiatica Leaf Extract, Glyceryn, Butylene Glycol, Portulaca Oleracea Extract, Sodium Ascorbyl Phospate, Ammonium Acryloyldimethyltaurate/VP Copol, Glycyrrhiza Glabra Root Extract, Disodium EDTA, {arfum, Cocoamidopropyl Betaine, Sodium Benzoate, Tocopheryl Acetate."
toner,Wardah,Lightening Face Toner,3.4,1173,https://reviews.femaledaily.com/products/cleanser/toner/wardah/lightening-face-toner-58,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1594370034_Lightening_800x800.jpg,Rp. 24.000,
toner,Somethinc,Glow Maker AHA BHA PHA Clarifying Treatment Toner,4.4,1154,https://reviews.femaledaily.com/products/cleanser/toner/somethinc/glow-maker-aha-bha-pha-clarifying-treatment-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1615881314_Somethinc__800x800.jpg,Rp. 119.000,"Somethinc Glow Maker AHA BHA PHA Clarifying Treatment Toner merupakan Daily Exfoliating Treatment Toner dengan konsentrasi acid yang rendah yaitu 3% AHA (Asam Glikolat), 0.01% BHA (Asam Salisilat), dan 0.1% PHA (Asam Laktobionat). Bermanfaat untuk menghilangkan sel kulit mati, pori-pori tidak tersumbat, melembutkan tekstur kulit, meratakan warna kulit, melawan jerawat, komedo dan komedo putih.Tersedia dalam ukuran:100 ml : Rp 119.00040 ml : Rp 59.000How to use:Setelah wajah dibersihkan, tuangkan GLOW MAKER Clarifying Treatment Toner ke kapas. Oleskan ringan ke kulit (hindari area mata). Bisa digunakan untuk area Leher dan Badan yang berjerawatSuitable for:Kulit berjerawat, Kulit berminyak, Kulit sensitifIngredients:Water, Butylene Glycol, Glycolic Acid, Arginine, 1,2-hexanediol, Betaine, Allantoin, Lactobionic Acid, Anthemis Nobilis Flower Extract, Salicylic Acid, Caffeine"
toner,Clean & Clear,Oil Control Toner,3.4,1022,https://reviews.femaledaily.com/products/cleanser/toner/clean-clear/oil-control-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/1467277642_lg.jpg,Rp. 0,"Clean & Clear Oil Control Toner adalah penyegar dengan kandungan Salicylic Acid yang bekerja hingga ke dalam pori-pori untuk membantu mengangkat minyak berlebih di wajah serta mencegah timbulnya jerawat dan komedo. Formulanya bebas minyak dan membantu membersihkan minyak dan kotoran yang tersisa di wajah.How To Use:Tuang toner secukupnya pada kapas, lalu tepuk-tepuk kapas ke seluruh wajah yang telah dibersihkanSuitable For:Kulit berminyakIngredients:Active Ingredients:Salicylic Acid (0.5%)Inactive Ingredients:Water Alcohol Glycerin Isoceteth-20 PEG-32 Sodium Citrate Fragrance Propylene Glycol Dimethicone Propyl PG-Betaine Benzophenone-4 Algae Extract Aloe Barbadensis Leaf Extract Denatonium Benzoate Blue 1"
toner,AVOSKIN,Miraculous Retinol Toner,4.1,979,https://reviews.femaledaily.com/products/cleanser/toner/avoskin/miraculous-retinol-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1584431263_retinol_to_800x800.jpg,Rp. 196.900,"AVOSKIN Miraculous Retinol Toner mengandung 3% Niacinamide, 1% Actosome Retinol, Peptide dan Pomegranate, yang efektif untuk memperbaiki tekstur kulit, mencerahkan, menjaga kelembaban, dan menjaga elastisitas kulit.How to use:Aplikasikan setelah mencuci wajah dan menggunakan sunscreen pada keesokan harinya. Jika timbul tanda-tanda iritasi, kurangi frekuensi penggunaan. Digunakan setiap hari pada malam hari.Suitable for:Kulit sensitifIngredients:Actosome Retinol, Peptide, Vitamin E, Niacinamide, Camellia Sinensin (Green tea leaf), Raspberry, Pomegranate."
toner,Son & Park,Beauty Water,4,955,https://reviews.femaledaily.com/products/cleanser/toner/son-park/beauty-water-12,https://image.femaledaily.com/dyn/210/images/prod-pics/1465871935_lg.jpg,Rp. 350.000,Toner. Exfoliating and moisturizing.
toner,Everwhite,AcnepairTM Purifying Toner,4.2,923,https://reviews.femaledaily.com/products/cleanser/toner/everwhite/acne-pair-toner-1,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1691660537_example_3_800x800.png,Rp. 97.200,
toner,"Dear, Klairs",Supple Preparation Unscented Facial Toner,4.2,851,https://reviews.femaledaily.com/products/cleanser/toner/dear-klairs/supple-preparation-facial-toner-01,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1579170847_Klairs_Sup_800x800.jpg,Rp. 310.000,
toner,Wardah,Acnederm Pore Refining Toner,3,834,https://reviews.femaledaily.com/products/cleanser/toner/wardah/wardah-acnederm-pore-refining-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1610526976_Acnederm_P_800x800.jpg,Rp. 32.000,
toner,Hada Labo,Gokujyun Alpha Ultimate Anti Aging Lotion,4.2,830,https://reviews.femaledaily.com/products/cleanser/toner/hada-labo/gokyujun-alpha-lotion,https://image.femaledaily.com/dyn/210/images/prod-pics/1438060547_lg.jpg,Rp. 50.000,"Hada Labo Gokujyun Alpha Ultimate Anti Aging Lotion adalah lotion yang dapat meningkatan kelembaban dan kadar air dalam kulit dengan segera. Formulanya dapat membuat garis halus memudar secara signifikan sehingga kulit tampak lebih muda, halus, dan bercahaya.How To Use:Aplikasikan lotion pada wajah yang telah dibersihkan. Tuangkan secukupnya pada telapak tangan. Usapkan ke seluruh wajah secara merata.Tepuk-tepuk kulit wajah dengan lembut dan biarkan hingga meresap.Suitable For:Kulit dengan tanda-tanda penuaan, kulit keringIngredients:-"
toner,Emina,Bright Stuff Face Toner,3.8,776,https://reviews.femaledaily.com/products/cleanser/toner/emina/bright-stuff-face-toner,https://image.femaledaily.com/dyn/250/remastering-data/production/product/product-1753180805725-23b9b603-a48f-4a2f-aee0-70f764e0bb33.jpg,,
toner,The Body Shop,Vitamin E Hydrating Toner,4.2,752,https://reviews.femaledaily.com/products/cleanser/toner/the-body-shop/vitamin-e-hydrating-toner-53,https://image.femaledaily.com/dyn/210/images/prod-pics/1495770957_lg.jpg,Rp. 169.000,
toner,Simple,Soothing Facial Toner,4.3,747,https://reviews.femaledaily.com/products/cleanser/toner/simple/simple-soothing-facial-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1571717773_Copy_of_11_800x800.jpg,Rp. 69.000,"Simple Kind to Skin Soothing Facial Toner mengandung Pro-Vitamin B5, Chamomile, Witch Hazel dan Allantoin yang menjaga kulit segar dan lembab. Dapat digunakan setelah cleanser dan sebelum moisturizer, baik pagi ataupun malam.How To Use:Tuangkan secukupnya pada kapas. Usapkan kapas pada daerah wajah secara lembut dan merata, tanpa harus digosok. Tidak perlu dibilas.Suitable For:Semua Jenis Kulit (termasuk kulit sensitif).Ingredients:Aqua, Hydrogenated Starch Hydrolysate, Hamamelis Virginiana Water, Allantoin, Panthenol, Niacinamide, Chamomilla Recutita Flower Extract, Sodium PCA, Glycerin, Pantolactone, Disodium Laureth Sulfosuccinate, Citric acid, Methylparaben, 2-Bromo-2-Nitropropane-1,3-Diol, Potassium sorbate."
toner,NACIFIC,Real Floral Toner,3.6,709,https://reviews.femaledaily.com/products/cleanser/toner/nacific/natural-pacific-real-calendula-energy-toner,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1612512355_Real_Flora_800x800.jpg,Rp. 182.000,"Nacific Real Floral Toner Calendula merupakan toner untuk menenangkan dan melembabkan dengan bunga calendula asli. Mengandung allantoin yang membuat kulit menjadi lebih halus dan mengandung 91% air bunga calendula untuk meminimalkan iritasi kulit, membersihkan residu makeup dan kotoran di pori-pori.How to use:Bersihkan wajah dengan sempurna. Bersihkan wajah dengan kapas yang dibasahkan dengan toner. Setelah diseka dengan lembut, tepuk kulit wajah dengan tangan hangat agar meresap dengan baikSuitable for:Semua jenis kulitIngredients:-"
toner,Etude House,Wonder Pore Freshner,3.2,682,https://reviews.femaledaily.com/products/cleanser/toner/etude-house/wonder-pore-freshner-10-in-1-68,https://image.femaledaily.com/dyn/210/images/prod-pics/1436924571_lg.jpg,Rp. 300.000,
