product_type,brand,product,rating,review_count,url,image_url,price,description
serum/essence,Somethinc,Niacinamide + Moisture Sabi Beet Brightening Serum,4.4,6559,https://reviews.femaledaily.com/products/treatment/serum-essence/somethinc/5-niacinamide-moisture-sabi-beet-serum,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1674530137_Somethinc__800x800.png,,"Somethinc Niacinamide + Moisture Sabi Beet Brightening Serum merupakan serum yang membantu kulit tampak lebih cerah, menghambat pembentukan pigmen kulit atau menyamarkan noda hitam, menyembuhkan luka, melembabkan, menghaluskan kulit dan juga anti aging. Memiliki dua varian yaitu 5% Niacinamide + Moisture Sabi Beet Serum dan 10% Niacinamide + Moisture Sabi Beet Max Brightening Serum.5% Niacinamide + Moisture Sabi Beet Serum cocok untuk pemula yang takut mencoba % dosis tinggi, dan orang yang memiliki toleransi % rendah dengan bahan aktif, terutama Niacinamide.Tersedia dalam ukuran:20ml: Rp 89.00040ml: Rp 149.00010% Niacinamide + Moisture Sabi Beet Max Brightening Serum cocok untuk orang yang benar-benar mengerti jenis bahan aktif apa yang dibutuhkan kulitnya, orang yang membutuhkan bahan aktif lebih tinggi ke dalam rutinitas perawatan kulit mereka, dan orang yang memiliki toleransi tinggi dengan bahan aktif.Tersedia dalam ukuran:20ml: Rp 115.50040ml: Rp 199.000How to use:Tuangkan 5-10 tetes serum pada telapak tangan. Aplikasikan pada seluruh wajah secara merata.Suitable for:Semua jenis kulitIngredients:Centella Asiatica Leaf Water, Niacinamide, Methylpropanediol, Betaine, Water, 1,2-Hexanediol, Glycerin, Polysorbate 20, Ammonium Acryloyldimethyltraurate/VP Copolymer, Polyglyceryl-10 Laurate, Tetrahydrocurcumin, Butylene Glycol, Xanthan Gum, Ethylhexylglycerin, Adenosine, Hydrolyzed Algae Extract, Anthemis Nobilis Flower Extract, Beta Vulgaris (Beet) Root Extract, Allantoin, Cafeine, Tocopherol."
serum/essence,The Ordinary,Niacinamide 10% + Zinc 1%,4,5462,https://reviews.femaledaily.com/products/treatment/serum-essence/the-ordinary/the-ordinary-niacinamide-10-zinc-1,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1628568334_product_15_800x800.png,Rp. 0,"DECIEM The Ordinary Niacinamide 10% + Zinc 1% menyamarkan noda bekas jerawat pada wajah serta menyeimbangkan kadar sebum pada wajah.How to Use:Aplikasikan pada wajah pagi dan malam hariSuitable for:-Ingredients:Aqua (Water), Niacinamide, Zinc PCA, Tamarindus Indica Seed Gum, Pentylene Glycol, Carrageenan, Acacia Senegal Gum, Xanthan Gum, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Ethoxydiglycol, Phenoxyethanol, Chlorphenesin."
serum/essence,Cosrx,Advanced Snail 96 Mucin Power Essence,4.3,3780,https://reviews.femaledaily.com/products/treatment/serum-essence/cosrx/x-advanced-snail-96-mucin-power-essence,https://image.femaledaily.com/dyn/210/images/prod-pics/1457096707-Cosrx-ADVANCED_SNAIL_96_MUCIN_POWER_ESSENCE.jpg,Rp. 220.000,"Cosrx Advanced Snail 96 Mucin Power Essence diformulasikan dengan 96% Snail Secretion Filtrate (Mucin)yang dapat memberi kelembapan ekstra kepada kulit serta memperbaiki tekstur kulit menjadi lebih sehat dan kenyal. Memiliki tekstur yang agak kental tetapi terasa ringan di kulit.How to Use:Tuangkan produk secukupnya ke telapak tangan kemudian usapkan ke seluruh wajah, hindari area mata dan mulut. Tepuk wajah secara lembut agar produk dapat menyerap dengan sempurna.Suitable for:Semua jenis kulitIngredientsSnail Secretion Filtrate, Betaine, Butylene Glycol,1,2-Hexanediol, Sodium Hyaluronate, Panthenol, Arginine, Allantoin, Ethyl Hexanediol, Sodium Polyacrylate, Carbomer, Phenoxyethanol"
serum/essence,Skin1004,Madagascar Centella Asiatica Ampoule,4.3,3773,https://reviews.femaledaily.com/products/treatment/serum-essence/skin1004/madagascar-centella-asiatica-100-ampoule,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1603788246_d143ad068e_800x800.jpg,Rp. 250.000,"Skin1004 Madagascar Centella-Asiatica 100 Ampoule terbuat dari 100% ekstrak Centella Asiatica yang aman bagi kulit sensitif dan menjadikan kulit lebih cerah dan muda. Ekstrak Centella Asiatica tersebut terdiri dari 30% Asiaticoside yang dapat menyeimbangkan kadar minyak pada kulit, 30% Asiatic Acid yang dapat meningkatkan lapisan perlindungan kulit dan dapat berfungsi sebagai antioksidan, serta 40% Madecassic Acid yang dapat memperbaiki kulit yang bermasalah. Memiliki formula yang cepat menyerap dan melembapkan kulit.How to Use:Aplikasikan pada seluruh wajah secukupnya setelah menggunakan toner. Dapat juga dicampurkan pada pelembap favorit, dicampurkan dengan air untuk digunakan sebagai face mist, atau tuangkan pada kapas dan dijadikan sebagai masker.Suitable for:Semua jenis kulitIngredients:Centella Asiatica extract 100%"
serum/essence,Whitelab,N10-Dose+ Brightening Serum,4.7,3528,https://reviews.femaledaily.com/products/treatment/serum-essence/whitelab/brightening-face-serum-32,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1679551936_PDP_TEMPLA_800x800.jpg,Rp. 75.000,
serum/essence,Azarine Cosmetic,C White Lightening Serum,4.8,3301,https://reviews.femaledaily.com/products/treatment/serum-essence/azarine-cosmetic/c-white-lightening-serum,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1583726418_lightening_800x800.png,Rp. 47.500,
serum/essence,SK-II,Facial Treatment Essence,4.1,3191,https://reviews.femaledaily.com/products/treatment/serum-essence/sk-ii/facial-treatment-essence,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1679644143_ESSENCE_D_800x800.jpg,Rp. 1.825.000,"SK-II Facial Treatment Essence adalah Miracle Water ringan yang cepat meresap ke dalam kulit. Merupakan produk andalan SK-II yang dinobatkan sebagai produk terlaris. Facial Treatment Essence memiliki lebih dari 90% Pitera™, bahan yang ditemukan lebih dari 30 tahun yang lalu namun masih tetap sama hingga hari ini. Formula yang tak tergantikan ini dengan lembut mampu membantu mengangkat sel kulit mati pada permukaan kulit wajah dan membantu siklus peremajaan permukaan kulit. Hanya dengan pemakaian teratur selama 14 hari, Facial Treatment Essence dapat membantu mentransformasi 5 dimensi kulit: membantu menyamarkan bintik hitam, membantu mengurangi tampilan kerutan, membantu menyempurnakan tekstur kulit, kulit terasa lebih kencang serta membantu kulit tampak lebih cerah. Kulit tampak lebih bersinar menawan sebening kristal.How To Use:Basahi kapas dan usapkan lembut pada wajah selama 1 menit. Gunakan sisi sebaliknya dan tepuk-tepuk perlahan wajah serta leher selama 1 menit. Lakukan ini setiap pagi dan malam setelah membersihkan wajah dan memakai toner.Suitable For:Semua jenis kulitIngredients:Key Ingredients: Pitera mengandung vitamin, amino acids, mineral dan organic acids yang bekerja secara bersamaan untuk proses peremajaan kulit agar kulit dapat berfungsi secara optimal.Other Ingredients: Galactomyces Ferment Filtrate, Butylene Glycol, Pentylene Glycol, Water, Sodium Benzoate, Methylparaben, Sorbic Acid."
serum/essence,Innisfree,Green Tea Seed Serum,4.2,3161,https://reviews.femaledaily.com/products/treatment/serum-essence/innisfree/green-tea-seed-serum,https://s3.ap-southeast-1.amazonaws.com/assets.femaledaily.com/remastering-data/production/product/product-1721723675178-218e3b19-f695-4f21-9d47-edf3cb74a025,Rp. 422.000,
serum/essence,Some by Mi,Snail Truecica Miracle Repair Serum,4,2760,https://reviews.femaledaily.com/products/treatment/serum-essence/some-by-mi/snail-truecica,https://image.femaledaily.com/dyn/250/remastering-data/production/product/product-1705637173446-,,
serum/essence,NACIFIC,Fresh Herb Origin Serum,3.4,2669,https://reviews.femaledaily.com/products/treatment/serum-essence/nacific/fresh-herb-origin-serum-91,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1612511979_Fresh_Herb_800x800.jpg,,"Natural Pacific Fresh Herb Origin Serum mengandung berbagai bahan alami yang dapat memberikan banyak manfaat pada kulit. Diperkaya dengan antioksidan, serum ini dapat meningkatkan elastisitas kulit, mencegah munculnya keriput, menyeimbangkan produksi minyak, memberikan kelembapan dan meratakan warna kulit. Dilengkapi dengan Aloe Vera yang dapat memberikan efek menenangkan bagi kulit. Memiliki formula yang mudah menyerap dan meninggalkan tingling sensation setelah diaplikasikan.How to Use:Kocok produk sebelum digunakan. Usapkan produk secukupnya ke seluruh wajah secara merata. Gunakan pada pagi dan malam hari untuk hasil yang optimal.Suitable for:Semua jenis kulitIngredients:Aloe Barbadensis Leaf Water, Aspalathus Linearis Extract, Glycerin, Helianthus Annuus Seed Oil, Hydrogenated palm oil,Simmondsia Chinensis Seed Oil, Punica Granatum Fruit Extract, Ficus Carica Fruit Extract, Morus Alba Fruit Extract, Ginkgo Biloba Nut Extract, Hippophae Rhamnoides Oil, Argania spinosa Kernel Oil, Camellia Sinensis Leaf Extract, Vitis Vinifera Fruit Extract, Citrus Aurantium Dulcis Fruit Extract, Pyrus Malus Fruit Extract, Lemon Fruit Extract, Citrus Aurantifolia Fruit Extract, Citric Acid, Aminobutyric acid, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Usnea Barbata Extract, Sodium chloride, Tocopheryl Acetate, Adenosine"
serum/essence,AVOSKIN,Perfect Hydrating Treatment Essence,4.3,2562,https://reviews.femaledaily.com/products/treatment/serum-essence/avoskin/perfect-hydrating-treatment-essence,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1644821774_avoskin_pe_800x800.jpg,,
serum/essence,Benton,Snail Bee High Content Essence,4,2164,https://reviews.femaledaily.com/products/treatment/serum-essence/benton/snail-bee-high-content-essence,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1520594115_FD_Best_of_800x800.jpg,Rp. 170.000,"Benton Snail Bee High Content Essence merupakan serum untuk semua kulit wajah. Produk ini merupakan serum yang terbuat dari air, snail secretion filtrate, bee venom, dan EGF untuk menghaluskan kulit yang rusak dan kasar serta melindungi kulit dari radikal bebas atau polusi. Produk ini juga dapat meratakan warna kulit, merawat jerawat dan melembabkan kulit. Produk ini juga mengandung arbutin dan adenosine untuk mencerahkan kulit wajah dan mencegah kulit dari tanda-tanda penuaan. How to Use:Aplikasikan produk ini pada wajah hingga menyerap.Suitable for:Semua jenis kulit.Ingredients:Snail Secretion Filtrate, Aloe Barbadensis Leaf Juice, Glycerin, Arbutin, Human Ogliopeptide-1, Bee Venom, Plantago Asiatica Extract, Laminana Digita Extract, Dios Pyros Kaki Leaf Extract, Salix Alba (Willow) Bark Extract, Ulmus Campestris (Elm) Extract, Bacilus Ferment, Azelaic Acid, Althaea Rosea Flower Extract, Aloe Barbadensis Leaf Extract, Butylene Glycol, Beta-Glucan, Betaine, Acrylates/C10-30 Alkyl Acrylate Cross Polymer, Adenosine, Panthenol, Allantoin, Zanthoxylum Piperitum Fruit Extract, Usnea Barbata (Lichen) Extract, Pulsatilla Koreana Extract, Arginine"
serum/essence,Scarlett,Whitening Acne Serum,3.4,2078,https://reviews.femaledaily.com/products/treatment/serum-essence/scarlett/whitening-acne-serum-1,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1613039137_Whitening__800x800.jpg,Rp. 75.000,"Di dalam Acne Serum terdapat kandungan Tea Tree Leaf Water, Salicylic Acid, Jeju Centella Asiatica, Liquorice Extract, dan Vitamin C."
